1,Ração para Cães Premium 15kg,199.90,31
2,Ração para Gatos 10kg,149.90,25
3,Shampoo para Cães 500ml,29.90,25  
4,Brinquedo Bola de Borracha,15.90,20  
5,Arranhador para Gatos Pequeno,79.90,5  
6,Ossinho Mastigável Médio,9.90,30  
7,Coleira Ajustável para Cães,39.90,15  
8,Caixa de Transporte Médio,129.90,7  
9,Bebedouro Automático 2L,59.90,12  
10,Tapete Higiênico 30 Unidades,89.90,18  
11,Ração Úmida para Gatos 85g,3.99,50  
12,Areia Sanitária para Gatos 4kg,22.90,20  
13,Antipulgas Pipeta 4-10kg,79.90,9  
14,Biscoitos para Cães 500g,12.90,30  
15,Ração para Filhotes 3kg,64.90,14  
16,Guia Retrátil para Cães,49.90,8  
17,Caminha para Cães Pequena,99.90,6  
18,Capa de Chuva para Cães,54.90,10  
19,Bolsa de Transporte Pequena,149.90,5  
20,Petisco para Gatos 80g,6.90,25  
